selling_price,km_driven,mileage,engine,max_power,seats,no_of_years,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_More than 2 owner,owner_Second Owner
270000,44000,25.17,799.0,53.3,5.0,6,0,0,1,1,0,1,0,0
640000,80000,20.77,1248.0,88.76,7.0,7,1,0,0,1,0,1,0,0
650000,125000,15.1,2179.0,140.0,7.0,7,1,0,0,1,0,1,0,0
409999,13500,15.37,1196.0,73.0,5.0,5,0,0,1,1,0,1,0,0
165000,75000,17.92,1086.0,62.1,5.0,11,0,0,1,1,0,1,0,0
80000,120000,13.2,1495.0,94.0,5.0,15,0,0,1,1,0,1,0,1
535000,120000,15.1,2179.0,140.0,7.0,10,1,0,0,1,0,1,0,0
700000,70000,12.99,2494.0,100.57,7.0,9,1,0,0,1,0,1,0,0
550000,70000,23.4,1248.0,74.0,5.0,9,1,0,0,1,0,1,0,0
680000,15000,19.0,1199.0,88.76,5.0,3,0,0,1,1,0,0,0,0
200000,53000,20.36,1197.0,78.9,5.0,13,0,0,1,1,0,1,0,1
500000,120000,23.4,1248.0,74.0,5.0,8,1,0,0,1,0,1,0,1
1000000,70000,24.52,1248.0,88.5,7.0,6,1,0,0,1,0,1,0,0
110000,120000,14.2,1341.0,82.9,5.0,14,0,0,1,1,0,1,0,1
320000,100000,18.5,1197.0,80.0,5.0,10,0,0,1,1,0,1,0,1
75000,110000,19.3,1248.0,0.0,5.0,17,1,0,0,1,0,1,0,1
350000,100000,20.4,1197.0,83.11,5.0,7,0,0,1,1,0,1,0,0
170000,162500,19.4,1405.0,70.0,5.0,9,1,0,0,1,0,1,0,0
800000,39000,22.54,1396.0,88.73,5.0,5,1,0,0,1,0,1,0,0
500000,75000,26.8,1248.0,74.0,5.0,5,1,0,0,1,0,1,0,0
1380000,50000,17.6,2179.0,153.86,7.0,5,1,0,0,1,0,0,0,0
1300000,40000,17.3,1497.0,121.0,8.0,3,1,0,0,1,0,1,0,0
530000,92500,22.32,1582.0,126.3,5.0,9,1,0,0,1,0,1,0,0
360000,158000,23.4,1248.0,74.0,5.0,10,1,0,0,1,0,1,0,0
310000,120000,19.3,1248.0,73.9,5.0,10,1,0,0,1,0,1,0,0
725000,50000,26.0,1498.0,98.6,5.0,7,1,0,0,1,0,1,0,1
340000,110000,19.3,1248.0,73.9,5.0,10,1,0,0,1,0,1,0,0
550000,2000,25.4,1186.0,73.97,5.0,5,1,0,0,1,0,1,0,1
1150000,181000,11.5,2982.0,171.0,7.0,11,1,0,0,1,0,1,0,1
380000,70000,27.28,1047.0,69.0,5.0,6,1,0,0,1,0,1,0,0
350000,90000,17.97,1498.0,99.6,5.0,9,0,0,1,1,0,0,0,1
610000,2000,18.6,1197.0,81.86,5.0,3,0,0,1,1,0,1,0,0
525000,20000,20.85,1197.0,83.14,5.0,7,0,0,1,1,0,1,0,0
480000,120000,12.8,2494.0,102.0,7.0,11,1,0,0,1,0,1,0,0
780000,35000,16.55,2498.0,105.0,6.0,5,1,0,0,1,0,1,0,0
320000,193000,19.3,1248.0,73.9,5.0,10,1,0,0,1,0,1,0,0
375000,80000,20.4,1197.0,81.8,5.0,8,0,0,1,1,0,1,0,0
300000,40000,19.02,1198.0,67.05,5.0,3,0,0,1,1,0,1,0,0
500000,70000,22.54,1396.0,88.73,5.0,7,1,0,0,1,0,1,1,0
404000,122358,12.05,2179.0,120.0,9.0,11,1,0,0,1,0,1,0,0
500000,75000,14.07,2956.0,69.01,7.0,7,1,0,0,1,0,1,0,0
350000,120000,27.28,1047.0,69.0,5.0,5,1,0,0,1,0,1,0,0
380000,40000,17.57,1193.0,88.7,5.0,7,0,0,1,1,0,1,0,0
114999,95200,13.2,1495.0,94.0,5.0,14,0,0,1,1,0,1,1,0
335000,33033,19.4,1198.0,86.8,5.0,8,0,0,1,0,0,1,0,0
465000,63063,18.9,1197.0,82.0,5.0,7,0,0,1,0,0,0,0,0
290000,60000,21.02,1248.0,88.76,5.0,10,1,0,0,1,0,1,0,0
110000,45000,19.7,796.0,46.3,5.0,17,0,0,1,1,0,1,0,1
450000,80000,11.57,2179.0,138.1,7.0,11,1,0,0,1,0,1,1,0
400000,170000,13.6,2523.0,63.0,7.0,13,1,0,0,1,0,1,0,1
210000,207890,13.6,2523.0,63.0,7.0,15,1,0,0,1,0,1,0,1
4600000,7976,17.9,2143.0,170.0,5.0,4,1,0,0,1,0,0,0,0
220000,35000,16.8,796.0,34.2,8.0,6,0,0,1,1,0,1,0,0
450000,35000,18.9,1197.0,82.0,5.0,5,0,0,1,1,0,1,0,0
450000,35000,18.9,1197.0,82.0,5.0,5,0,0,1,1,0,1,0,0
290000,50000,16.95,1197.0,78.9,5.0,9,0,0,1,1,0,0,0,0
520000,20000,20.4,1197.0,81.8,5.0,6,0,0,1,1,0,1,0,0
265000,20000,16.95,1197.0,78.9,5.0,11,0,0,1,1,0,0,0,0
330000,50000,18.6,1197.0,85.8,5.0,10,0,0,1,1,0,1,0,1
330000,50000,18.6,1197.0,85.8,5.0,10,0,0,1,1,0,1,0,1
509999,120000,15.96,2523.0,62.1,7.0,8,1,0,0,1,0,1,0,0
500000,70000,17.1,1591.0,121.3,5.0,8,0,0,1,1,0,1,0,0
525000,50000,17.19,1197.0,81.86,5.0,7,0,0,1,1,0,1,0,0
675000,16500,21.01,1197.0,81.8,5.0,3,0,0,1,1,0,1,0,0
300000,70000,17.0,1197.0,80.0,5.0,12,0,0,1,1,0,1,0,0
90000,99361,19.7,796.0,46.3,5.0,17,0,0,1,1,0,1,0,1
650000,25000,26.59,1248.0,74.0,5.0,5,1,0,0,1,0,1,0,0
409000,70000,19.1,1197.0,85.8,5.0,8,0,0,1,1,0,1,0,1
395000,80000,24.0,1120.0,70.0,5.0,7,1,0,0,1,0,1,0,1
215000,70000,19.3,1248.0,0.0,5.0,12,0,0,1,1,0,1,0,1
400000,70000,19.1,1197.0,85.8,5.0,8,0,0,1,1,0,1,0,1
120000,60000,18.6,1199.0,79.4,5.0,10,0,0,1,1,0,1,1,0
645000,10000,20.3,1199.0,84.0,5.0,4,0,0,1,1,0,0,0,0
81000,80000,16.1,796.0,37.0,4.0,16,0,0,1,1,0,1,0,0
1300000,30000,25.6,1498.0,97.9,5.0,5,1,0,0,1,0,1,0,0
1250000,33000,25.6,1498.0,97.9,5.0,5,1,0,0,1,0,1,0,0
535000,90000,16.02,1373.0,93.7,7.0,9,0,0,1,1,0,1,1,0
555000,80100,19.01,1461.0,108.5,5.0,8,1,0,0,1,0,1,0,1
725000,120000,17.4,1497.0,117.3,5.0,8,0,0,1,1,0,1,0,0
300000,10000,19.3,1248.0,0.0,5.0,39,1,0,0,1,0,1,1,0
229999,40000,25.17,799.0,53.3,5.0,6,0,0,1,1,0,1,0,0
800000,160000,12.99,2494.0,100.6,8.0,9,1,0,0,1,0,1,0,1
409999,47000,20.51,998.0,67.04,5.0,5,0,0,1,1,0,1,0,0
1210000,25000,21.38,1396.0,88.7,5.0,4,1,0,0,1,0,1,0,0
400000,26000,23.84,1199.0,84.0,5.0,5,0,0,1,1,0,1,0,0
520000,29000,24.0,1186.0,73.97,5.0,4,1,0,0,1,0,1,0,0
650000,50000,21.4,1197.0,83.1,5.0,6,0,0,1,1,0,0,0,0
325000,58000,16.1,1298.0,88.2,5.0,11,0,0,1,1,0,1,1,0
420000,120000,17.4,1197.0,85.8,5.0,10,0,0,1,1,0,0,0,0
400000,50000,20.4,1197.0,81.8,5.0,8,0,0,1,1,0,1,0,0
254999,80000,17.0,1197.0,80.0,5.0,12,0,0,1,1,0,1,1,0
65000,60000,17.3,993.0,60.0,5.0,19,0,0,1,1,0,1,1,0
351000,36000,23.1,998.0,67.04,5.0,5,0,0,1,1,0,1,0,0
404000,120000,12.8,2494.0,102.0,8.0,15,1,0,0,1,0,1,1,0
185000,185000,21.1,1248.0,73.9,5.0,11,1,0,0,1,0,1,1,0
250000,50000,23.08,1461.0,63.1,5.0,11,1,0,0,1,0,1,0,0
60000,100000,17.3,993.0,60.0,5.0,20,0,0,1,1,0,1,1,0
500000,50000,17.1,1591.0,121.3,5.0,9,0,0,1,1,0,1,0,1
85000,80000,18.2,998.0,67.1,5.0,15,0,0,1,1,0,1,0,1
